7865,BIGGAR S
111940,BIGGS A
123357,BIGGS S
183184,BIJOU C
109952,BILLINGSLEY K
21223,BILOTTI R
47839,BINDER D
18609,BINDER S
124336,BINETTI M
119838,BINGHAM D
119826,BINNER R
82671,BIRCHENOUGH J
78977,BIRCKHEAD G
21257,BIRD W
117892,BIRKBY S
160238,BIRLA A
141145,BIRNBAUM J
109430,BIRON R
128365,BIS G
80903,BISBEE G
111606,BISHOP D
75994,BISHOP M
85876,BISSELL M
131095,BISSON A
184258,BISSON S
141897,BITTNER B
46175,BIVENS T
171873,BIZZELL J
130400,BJERKE M
130695,BLACK A
192538,BLACK B
82358,BLACK J
41912,BLACK R
83539,BLACKLEDGE J
114769,BLACKMAN M
104616,BLAESER J
182276,BLAIR B
115654,BLAIR J
135862,BLAIR M
190688,"BLAIR, CFA B"
183064,BLAKE E
72643,BLANCO L
168657,BLAND S
114000,BLANSETT C
1613,BLANTON A
140061,BLASCHKE B
164877,BLAZEI M
125397,BLEDSOE C
119121,BLEICHER L
105359,BLOCK D
46365,BLOCK H
117425,BLOCK J
48128,BLOCK W
112308,BLOOMQUIST E
130066,BLOSSMAN B
134619,BLOSTEIN A
134619,"BLOSTEIN, CFA A"
1924,BLOUNT H
195639,BLUM G
109915,BLUM M
140258,BLUME V
120742,BOARDMAN D
76140,BOASE T
80701,BOBBA N
117346,BOBOVNIKOVA D
146549,BOCK J
82626,BODDY T
105245,BODINO M
197270,BODNAR E
120874,BODNAR P
124923,BOEHM S
105975,BOEHRINGER D
43719,BOENTE S
193010,BOESCHEN F
185470,BOGART S
134375,BOHLEN J
104636,BOHLEN R
129634,BOHLEN S
77167,BOHN H
160727,BOHRA B
86670,BOKHARI Z
109951,BOKSEN H
58823,BOLAN B
120187,BOLAN G
89867,BOLAND S
110352,BOLER K
105094,BOLLIN B
190821,BOLOGNA G
131031,BOLTE M
70634,BOLTON N
70634,BOLTON Q
118991,BOLTON/MOK
165004,BOLU C
122564,BOMBACH A
184667,BOND A
132472,BONDADA R
155587,BONE C
126981,BONEFANT P
55896,BONELLO B
55896,BONELLO W
125180,BONENFANT P
21126,BONNYMAN S
86813,BOODRAM K
87338,BOOKBINDER R
189201,BOONE A
10456,BOORADY C
186156,BORA P
110671,BORAK B
152742,BORG A
165573,BORGES G
165573,"BORGES, CFA G"
170,BORGMAN L
118798,BORI J
107691,BORIS J
150221,BORKHATARIA B
111331,BORLAND N
110535,BOROCH F
185206,BORODITSKY S
185206,"BORODITSKY, C S"
137870,BORRA S
112359,BORRMANN A
82682,BORSCH M
82682,"BORSCH, CFA M"
135522,BORST D
161404,BORSTEIN J
186235,BORTOLUCI T
131673,BORUCHOW I
148731,BOSS M
2314,BOSSHARD E
163994,BOTTIGLIERI C
153592,BOUCHARD R
54897,BOUCHEY D
186679,BOULEY M
107060,BOURGEOIS H
77715,BOURGEOIS R
105178,BOUT J
110709,BOUVIER J
121594,BOUZEKRI/SCHE
30942,BOVE R
58362,BOWEN M
152544,BOWER D
167341,BOWERS J
135119,BOWLER S
155375,BOWLER/SPRUNT
137022,BOX J
109918,BOYD D
194620,BOYD R
114732,BOYD T
79272,BOYDEN N
189946,BOYER B
122225,BOYER E
113224,BOYLAN M
52298,BOYLE J
82369,BRAATZ J
54752,BRACELIN B
5110,BRACKEN F
143524,BRACKETT B
196307,BRACKMANN A
126119,BRADBURY C
476,BRADFORD C
87169,BRADLEY O
45572,BRADLEY P
3742,BRADSHAW J
56500,BRADY C
18831,BRANCA M
196852,BRANCHETTI E
196852,"BRANCHETTI, P E"
45217,BRAND A
91782,BRAND M
105438,BRAND/CRISTEL
147061,BRANTLEY B
115540,BRASH G
129273,BRASHEAR J
110748,BRASWELL A
159203,BRATHWAITE C
130619,BRAVERMAN L
192981,BRAYER O
134370,BRAZILER T
149912,BRAZILLER D
185571,BREAZZANO S
77392,BREEDIS K
106438,BREEN J
149227,BREESE M
126387,BREICHMANAS A
49926,BREIDENBACH L
183494,BREIDENBACH M
123211,BREMER W
79876,BRENDLER C
57227,BRENNAN C
152345,BRENNAN D
18081,BRENNER A
87362,BRENNER D
121037,BRENNER/RUDDI
45080,BRETTHAUER D
137513,BRETTHAUER/BR
155431,BREYTENBACH T
49027,BREZA R
75228,BRIDGES J
182148,BRIGGS J
73315,BRIGHT J
96363,BRILL A
188576,BRILL D
165463,BRIMS D
138370,BRINKMAN R
119538,BRINKMANN T
194884,BRISCO D
188362,BRISEBOIS F
109278,BRISNEHAN M
163167,BRISTOW C
163996,BRITO T
74371,BROAD Q
118238,BROCHMANN N
150252,BROCK A
112695,BROCK D
126143,BRODA T
160701,BRODARICK T
135825,BROKMEIER B
79290,BROMBERG D
131367,BROOKLIER M
155627,BROOKMAN R
112449,BROOKS A
150404,BROOKS M
97010,BROOKS T
134670,BROOMALL B
148567,BROOME M
148567,"BROOME, CFA M"
48008,BROTHWELL S
137741,BROUDO M
49356,BROUGHTON D
80160,BROUGHTON S
72460,BROWN B
86428,BROWN C
54636,BROWN D
1341,BROWN E
1657,BROWN F
109428,BROWN L
40722,BROWN M
120883,BROWN P
1662,BROWN R
110340,BROWN T
135112,BROWN/FISHER
153320,BROWN/HATFIEL
153196,BROWN/WATSON
113355,BROWNE B
145697,BROWNE N
153777,BROWNLOW B
155446,BROWNLOW/WEWE
111421,BROZAK S
111811,BROZAK/JINDRA
125189,BROZAK/MALLIN
106095,BRUCE K
159913,BRUCKNER A
78043,BRUESCHKE J
115840,BRUMBAUGH D
168560,BRUNGARDT B
115793,BRUNNINGER M
185306,BRUNO P
127788,BRUNO R
86719,BRUSO C
59225,BRUYNESTEYN M
112639,BRYANT A
131607,BRYSON M
126523,BU D
112811,BU J
57702,BUCHANAN R
153151,"BUCHANAN, PHD R"
77159,BUCHER J
9781,BUCHSBAUM D
48482,BUCK D
994,BUCK E
123328,BUCK S
120186,BUCKLES T
190217,BUCKLEY D
1701,BUCKLEY J
165883,BUDDENHAGEN E
184021,BUENO J
30278,BUGATCH B
78509,BUGATCH/DARKA
108075,BUGATCH/HENDE
151841,BUKACHEVA A
134872,BULKEY C
115580,BUNDY C
115580,BUNDY P
59642,BUNTING J
135637,BUNTON S
123391,BUONOCORE F
137207,BURCH J
93143,BURCHELL P
161277,BURD A
191065,BURDICK D
195431,BURDIS W
81879,BURES P
59218,BURGANSKY A
71172,BURGSTALLER S
77189,BURK G
77189,BURK S
83702,BURKE D
109964,BURKE J
187608,BURKE K
82505,BURKE L
115794,BURKE S
150661,"BURKE, CFA B"
149269,BURKE/SMITH
122388,BURKE/VILLALO
82413,BURLESON B
82413,BURLESON R
25074,BURNELL M
183539,BURNES A
192487,BURNETT B
114428,BURNETT J
40543,BURNS A
41961,BURNS G
194378,BURNS R
51146,BURNS W
113165,BURTON M
127912,BURTZLAFF D
160368,BURWELL S
160368,"BURWELL, CFA S"
184394,BUSCAGLIA A
90317,BUSELL J
115091,BUSH S
126960,BUSHNELL J
155739,BUSKIRK T
105737,BUSNARDO L
133409,BUSS C
127799,BUSSI P
128257,BUTANI U
20011,BUTLER A
117778,BUTLER B
20011,BUTLER C
128070,BUTLER J
48271,BUTLER S
171887,BUTLER T
139607,BUTLER W
128070,"BUTLER, PHD J"
115736,BUTLER/DASTOO
59430,BUTSON S
113090,BUTT A
51221,BUTTIGIEG K
79271,BUYERS C
191996,BYE M
72792,BYE P
151229,BYRD S
115942,BYRNE J
43282,BYRNE L
112593,BYRNE S
30613,BYRNES C
145619,BYRNES R
78216,CABLE J
184510,CABRAL M
87596,CABRERA O
194157,CACANANDO H
164392,CAHALL S
114228,CAI H
185414,CAI J
133613,CAI L
163010,CAIADO DE SOU J
78224,CAICCO P
152914,CAINTIC V
126149,CAKMAK J
52379,CALABRESE K
31710,CALCAGNINI J
51026,CALDERWOOD S
109962,CALDWELL S
109078,CALFO L
136250,CALI N
188262,CALIENDO K
132083,CALIO E
30614,CALLAGHAN C
135980,CALLAHAN M
1188,CALLAN B
158266,CALVELLO J
19026,CAMARGO R
131511,CAMERON A
73718,CAMIRE C
149657,CAMMA F
77995,CAMPAGNINO R
50252,CAMPBELL A
1320,CAMPBELL C
75110,CAMPBELL D
188824,CAMPBELL F
20951,CAMPBELL G
2639,CAMPBELL J
110878,CAMPBELL JR D
121397,CAMPBELL K
3912,CAMPBELL P
6452,CAMPBELL R
163072,CAMPBELL-CRAW B
165413,CAMPOS F
91522,CAMPOS L
197215,CANFIELD C
107868,CANHEU V
186504,CANINO B
32216,CANN L
105170,CANNON F
187379,CANTWELL J
187379,"CANTWELL, CFA J"
171832,CAO C
82036,CAPLAN W
161157,CAPONETTI C
40695,CAPPELLI G
48486,CAPRA A
117835,CAPRON J
185032,CARBONE G
78759,CARBONE T
52894,CARBOY M
127643,CARCACHE B
187503,CARDEN D
10408,CARDENAS D
190315,CARDOSO R
163562,CAREY C
84348,CARLETTI M
122384,CARLETTI/SCHL
186805,CARLSON D
156878,CARLSON R
188152,CARLUCCI M
105637,CARMEL S
170770,CARMICHAEL J
155971,CARNEIRO C
155971,CARNEIRO M
106135,CARNEY M
183776,CARPENTER B
185288,CARPENTER C
85871,CARPENTER D
126902,CARPENTER K
59262,CARPENTER R
76977,CARPENTER T
117409,CARPIO L
120772,CARR A
102,CARR C
192752,CARR R
154050,CARREKER J
197141,"CARRICO, CFA M"
113410,CARRIER M
109032,CARRIER W
185344,CARRIL C
46284,CARROLL B
83408,CARROLL K
78132,CARROLL T
108935,CARSON B
17887,CARSON D
78442,CARSON J
49976,CARTER A
164812,CARTER C
185040,CARTER G
113446,CARTER J
89427,CARTER R
192549,CARTER W
186539,CARTIER R
80253,CARTLICH M
160143,CARTOCETI M
113724,CARUTHERS J
145849,CARVALHAL C
113023,CARVER M
182693,CARY R
87636,CASAHONDA M
124405,CASANOVA I
125045,CASAS M
150804,CASELLA A
6486,CASESA J
47490,CASEY A
17970,CASEY T
748,CASH A
195249,CASHER S
81187,CASO C
31223,CASO E
31223,CASO JR. E
114541,CASSE L
159706,CASSEL L
3740,CASSIDY G
122141,CASSIDY K
183178,CASSIL R
118202,CASTELEYN J
194062,CASTILLO A
144044,CATALDO T
191070,CATANZARO J
81945,CATELLIER R
115675,CATHERS D
30620,CATON C
196338,CAUFIELD M
164929,CAVALLO N
109551,CAVANAGH R
127291,CAZZOL F
190504,CELINO J
447,CERANKOSKY C
85094,CERASO C
129313,CERASOLI M
129313,"CERASOLI, CFA M"
125282,CERVANTES V
83598,CFA C
115461,CFA D
182994,CFA S
151547,CHA E
150892,CHADHA S
40275,CHAGAS E
184823,CHAI C
85951,CHAI D
184839,CHAIKEN B
72026,CHAKRAVARTY P
168831,CHALABALA K
30622,CHAMBERLAIN C
79996,CHAMOUN F
123340,CHAMPAWAT P
80450,CHAMPINE L
55027,CHAMPION S
173830,CHAMPION T
110466,CHAN A
19814,CHAN B
128450,CHAN C
164716,CHAN D
150393,CHAN E
137041,CHAN H
190055,CHAN J
31592,CHAN K
9792,CHAN L
129621,CHAN T
163809,CHANCELLOR W
57780,CHANDA A
113038,CHANDIRAKANTH R
42523,CHANDLER D
25291,CHANDRA A
112151,CHANDRA H
112151,CHANDRA POLAV H
18677,CHANDRA S
137922,CHANDY S
30623,CHANEY C
109040,CHANG C
195217,CHANG H
75758,CHANG J
160680,CHANG L
131837,CHANG P
135504,CHANG R
83999,CHANG S
132325,CHANG W
151201,CHANG Z
127070,CHAO B
78784,CHAO J
129789,CHAO V
114487,CHAPGIER J
109518,CHAPLIN J
49556,CHAPPELL B
81062,CHAPPELL J
49556,CHAPPELL JR. W
49556,CHAPPELL W
124571,CHAPPLE C
137507,CHAPTO F
17940,CHARETTE C
158540,CHARLES A
86135,CHARLES B
17602,CHARLES D
115183,CHARTIER J
118256,CHASE B
80081,CHASE G
9671,CHASEN A
120463,CHATTERJEE A
153096,CHATTERJEE S
155901,CHATTERJI N
118137,CHATTOPADHYAY D
163039,CHAUDHURI T
124433,CHAUHAN B
137582,CHAULAGAI D
160982,CHAURASIA S
112838,CHAVEZ MARTIN F
92759,CHAZAN A
17953,CHEE E
78761,CHEKANOW M
143106,CHEN A
118217,CHEN B
49916,CHEN C
168185,CHEN E
103370,CHEN G
110150,CHEN H
114718,CHEN J
87125,CHEN K
106557,CHEN L
189004,CHEN M
110827,CHEN S
168053,CHEN T
189134,CHEN V
118308,CHEN Y
136442,CHEN Z
160570,"CHEN, CAST C"
193824,CHENG B
154691,CHENG C
121795,CHENG E
108561,CHENG J
15734,CHENG P
115913,CHENG R
130939,CHENG W
44775,CHERCOVER S
58026,CHERNIAVSKY B
127576,CHERNY M
115089,CHESLER M
115351,CHESLER/GINOC
130921,CHESNEY S
118830,CHEUNG A
103842,CHEUNG K
83726,CHEUNG S
73249,CHEUNG W
137711,CHEW A
9494,CHEWNING R
125031,CHHEDA N
128291,CHIANG K
59337,CHIANG T
31715,CHIARELLI J
71121,CHIARO D
126743,CHIARVESIO W
109917,CHIASSON J
92161,CHIAVERINI D
73767,CHICK S
121402,CHICKERING P
179278,CHICO L
105518,CHIDLEY P
90971,CHIEFALO P
185373,CHIEN H
195633,CHIEN W
193660,CHIENG E
143187,CHIGUMIRA D
43110,CHIK L
185064,CHIKERE K
43316,CHILDE J
81372,CHILDRESS L
80535,CHILLARA S
134375,CHIMERA J
110122,CHIN B
181871,CHIN G
89766,CHING E
153703,CHINTALAPATI A
159848,CHIODO T
85459,CHIPRICH E
139951,CHIRINO J
160649,CHITTENDEN B
193160,CHITTETI V
124983,CHIU C
118832,CHIU T
125923,CHO C
189214,CHO M
131602,CHODACZEK G
73714,CHOE R
78466,CHOI B
114543,CHOI J
58422,CHOI K
120962,CHOI L
120782,CHOI M
91593,CHOI P
78466,CHOI W
134165,CHOKSHI N
30843,CHOLNOKY T
113229,CHON C
120890,CHONG T
75939,CHOPRA D
57699,CHOPRA R
1291,CHOQUETTE K
114370,CHOU M
108303,CHOUDHARY P
194949,CHOUDHARY U
73530,CHOUINARD C
112387,CHOW A
105929,CHOW C
