7946,FLEISHMAN S,WOLFE,WOLFE RESEARCH SECURITIES,24-Jan-22
7947,FLOWER S,MACQUARI,MACQUARIE CAPITAL (USA) INC.,23-Jun-11
7960,GIRSKY S,MORGAN,MCMORGAN & COMPANY CAPITAL ADVISORS LLC,10-Jun-05
7967,GREIPER S,UNTERBUR,,16-Nov-05
7985,HINGORANI S,UNTERBUR,,21-Apr-05
7987,HIRSCH S,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,2-Dec-09
8035,LEVY S,LEHMAN,LEHMAN BROTHERS INC.,27-Jul-05
8048,LUDWIG S,NORTHRES,,28-Aug-12
8061,MCGOWAN S,CRUTTEN,"Cruttendon & Co., LLC",8-Mar-22
8063,MERLIS S,WEISEL,Thomas Weisel Partners LLC,29-Jan-07
8065,MILUNOVICH S,WOLFE,WOLFE RESEARCH SECURITIES,26-Nov-19
8098,PULVIRENT S,MERLIN,,26-Oct-11
8116,ROSE S,EVERCO,EVERCORE GROUP L.L.C.,1-Aug-14
8118,KATZKE S,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,5-Jan-22
8128,SANSBURY S,MILLERTA,"Miller Tabak + Co., LLC",6-Jun-14
8130,SCHARF S,POORSTAN,Piper Sandler & Co.,30-Jan-14
8136,SCHWARTZ S,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",17-Jun-16
8152,SKOLNICK S,MIZUSEC,Mizuho Securities USA LLC,9-Nov-17
8190,WALLICK S,JMDUTTON,"J.M. Dutton & Associates, LLC",11-Sep-08
8528,COURTRIGHT T,MCLEOD,McLeod & Company,13-May-11
8556,FILANDRO T,SUSQUEH,"SUSQUEHANNA FINANCIAL GROUP, LLLP",27-Jan-16
8583,GUNDERSON T,PIPER,PIPER SANDLER & CO.,3-Mar-16
8617,KOFFMAN T,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",27-Apr-12
8662,MANCINO T,PACGROW,"Pacific Growth Equities, LLC",18-Aug-05
8675,MCEVOY T,STEPHENS,STEPHENS,19-Jan-22
8699,O'NEILL T,LITCH,"Lichtenstein Research, LLC",31-Jan-22
8775,SUMMERS T,NEWB,NEWBRIDGE SECURITIES CORPORATION,12-Nov-09
9115,ACHESON W,LADENBUR,LADENBURG THALMANN & CO. INC.,16-Jun-11
9119,ANDREWS W,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",10-Oct-06
9146,CONROY W,MCNICOLL,"McNicoll, Lewis & Vlak LLC",2-Apr-13
9208,JOHNSON W,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",28-Feb-18
9267,SCHMITT W,OPPEN,,10-May-06
9303,VOGEL W,MERLIN,,3-Nov-11
9332,YANKUS B,MACQUARI,MACQUARIE CAPITAL (USA) INC.,16-Nov-10
9445,SIEGEL Y,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,4-May-12
9473,LANNI B,EDWARDS,"EDWARDS & SONS, INC.",14-Sep-07
9479,ABBOTT G,RTXSECS,"RAMIREZ & CO., INC.",5-Aug-05
9482,GOMBERG J,BLAIR,"William Blair & Company, L.L.C.",6-Jul-06
9494,CHEWNING R,VIRGINIA,"B. Riley Wealth Advisors, Inc.",22-Jul-09
9495,HANNAN E,WEEDEN,,6-May-10
9514,VLEESCHHOUWER J,GRIFFIN,"GRIFFIN CAPITAL SECURITIES, LLC",18-Jan-22
9520,WERTHER C,DAWSON,DAVY SECURITIES,11-Oct-18
9523,BARRY S,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,22-Feb-10
9529,ADKINS J,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",30-Oct-19
9532,TRBOVICH K,JANNEY,JANNEY MONTGOMERY SCOTT LLC,9-Nov-18
9578,PRATHER W,JMDUTTON,"J.M. Dutton & Associates, LLC",20-Nov-07
9579,KIMBALL D,LEHMAN,LEHMAN BROTHERS INC.,5-May-06
9584,MARTIN L,NEEDHAM,"NEEDHAM & COMPANY, LLC",17-Feb-22
9589,RUYKHAVER J,STEPHENS,STEPHENS,11-Jul-18
9591,GALLO A,WHEAT,"Wheat Capital Management, Inc.",21-Mar-14
9601,CRAIG R,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",7-May-12
9613,PLACK V,SCOTT,"SCOTT JAMES GROUP, INC.",19-May-16
9619,ROSWELL M,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",2-Aug-07
9634,YANCHUS S,BROOKCM,Brookfield Capital Markets LLC,10-Dec-20
9636,BEARD D,IBERIA,"IBERIA CAPITAL PARTNERS, L.L.C.",20-Oct-17
9639,KELLEHER M,DAVIDSON,D.A. DAVIDSON & CO.,23-May-19
9651,PIERCE L,BREAN,"BREAN CAPITAL, LLC",29-Mar-16
9656,ESSI V,NEEDHAM,"NEEDHAM & COMPANY, LLC",8-Oct-14
9669,LEBOYER R,NOBE,"NOBLE CAPITAL MARKETS, INC.",10-Nov-21
9671,CHASEN A,GOLDMAN,GOLDMAN SACHS & CO. LLC,26-Feb-08
